Compound Actions,,,,,per action,,,,Action,,,,SubAction,,,"per sub action (if empty, use values from sub action default)",,,,,,,,,,,,
compound_action_id,compound_action_name,description,training_type,,eligible_external_resistance,resistance,speed,,id,description,body_position,,sub_action_id,sub_action_name,,contribute_to_power_production,apply_instability,apply_resistance,stance_lower_body,stance_upper_body,lateral_distribution_pattern,arm,torso,leg,multiplier,percent_bodyweight,lateral_distribution,
,,,,,,,,,1,,,,1000.1,"standing, bent over row",,,,,,,,,,,,,,
,,,,,,,,,2,,double_leg_standing,,2402_b,Bent Over Row:negative,,,,,,,,,,,,,,
,,,,,,,,,2,,,,1000.1,"standing, bent over row",,,,,,,,,,,,,,
905.1,Single Arm Bent Over Row,,strength_action_bw,,single_dumbbell,mod,mod,,1,,quadruped,,2402_a,Bent Over Row:positive,,,,,,,unilateral,1,0,0,1,4.715,"100,0",
,,,,,,,,,1,,,,1000.3,Single Arm bent over row,,,,,,,,,,,,,,
,,,,,,,,,2,,quadruped,,2402_b,Bent Over Row:negative,,,,,,,unilateral,1,0,0,1,4.715,"100,0",
,,,,,,,,,2,,,,1000.3,Single Arm bent over row,,,,,,,,,,,,,,
906,Bent Over Fly,,strength_action_bw,,dumbbells,mod,mod,,1,,supine,,2408_a,Horizontal Adduction:positive,,,,,,,,,,,,,,
,,,,,,,,,1,,,,1000.1,"standing, bent over row",,,,,,,,,,,,,,
,,,,,,,,,2,,,,2408_b,Horizontal Adduction:negative,,,,,,,,,,,,,,
,,,,,,,,,2,,,,1000.1,"standing, bent over row",,,,,,,,,,,,,,
906.1,Single Arm Bent Over Fly,,strength_action_bw,,single_dumbbell,mod,mod,,1,,supine,,2408_a,Horizontal Adduction:positive,,,,,,,unilateral,1,0,0,1,4.715,"100,0",
,,,,,,,,,1,,,,1000.3,Single Arm bent over row,,,,,,,,,,,,,,
,,,,,,,,,2,,,,2408_b,Horizontal Adduction:negative,,,,,,,unilateral,1,0,0,1,4.715,"100,0",
,,,,,,,,,2,,,,1000.3,Single Arm bent over row,,,,,,,,,,,,,,
907,Seated Reverse Fly,,strength_action_bw,,dumbbells,mod,mod,,1,,seated,,2408_a,Horizontal Abduction:positive,,,,,,,bilateral,1,0,0,0.4,1.886,"50,50",
,,,,,,,,,1,Holding arms up,,,2406.1_d,Front Raise Neutral Grip:isometric hold,,,,,,,bilateral,1,0,0,0.6,2.829,"50,50",
,,,,,,,,,1,,,,100,Bracing,,,,,,,,,,,,,,
,,,,,,,,,2,,seated,,2408_b,Horizontal Abduction:negative,,,,,,,bilateral,1,0,0,0.4,1.886,"50,50",
,,,,,,,,,2,Holding arms up,,,2406.1_d,Front Raise Neutral Grip:isometric hold,,,,,,,bilateral,1,0,0,0.6,2.829,"50,50",
,,,,,,,,,2,,,,100,Bracing,,,,,,,,,,,,,,
908,Front Raise,,strength_action_bw,,dumbbells,mod,mod,,1,,double_leg_standing,,2406_a,Front Raise:Positive,,,,,,,,,,,,,,
,,,,,,,,,1,,,,1000,"standing, moving weight in sagittal plane",,,,,,,,,,,,,,
,,,,,,,,,2,,double_leg_standing,,2406_b,Front Raise:Negative,,,,,,,,,,,,,,
,,,,,,,,,2,,,,1000,"standing, moving weight in sagittal plane",,,,,,,,,,,,,,
