,,,,selected actions to define load quantification parameters and muscle groups to apply loads,,,movement characterization to select action,,,,quantity of stabilization intensity,,,quantity of power intensity,,,,,,,,,,,,,,,
fathom_name,soflete_name,description,,primary_actions,secondary_actions,,training_type,cardio_action,external_weight,,surface_stability,external weight implement,,explosiveness,,youtube_link,equipment,body_position,metrics,tags,sections,strength,endurance,power,number of training types assigned,,id,weight_label,Does not have weight
,Bottom Up Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=a00itcPcfTg,,,Reps; Minutes,['basic_functional_movement: squat'],breathing work; movement work; recovery protocol; breathin; mobility work,0,0,0,0,1043,59fdf892901d91000f5778b9,#N/A,
,Bottoms Up Front Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/SrzrC2OehpY,,,Reps,['basic_functional_movement: squat'],strength 1,1,0,0,1,1408,5baf764ac93a2b000f712d86,Weight (Actual),
,Bottoms Up KB Carry,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/vTryizhGW6s,kettlebells,,Feet,"['basic_exercise: carry', 'equipment: kettlebells']",accessory work,0,0,0,0,1525,5bfe4e788a838c000f95c6c6,Weight (Actual),
,Bottoms Up Kettlebell Armbar,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=kJ5cSE1IufM,kettlebells,,,['equipment: kettlebells'],,0,0,0,0,156,57e2fd3a4c6a031dc777e8c4,#N/A,
,Bound Angle,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=1bsKR_PQ-xg,,,Minutes,[],recovery protocol; mobility (phm); mobility,0,0,0,0,139,57e2fd3a4c6a031dc777e8b2,#N/A,
,Bounding Box Jumps,,,,,,power_action_plyometrics,,,,,,,,,https://youtu.be/-sC2Zpbo1Ko,,,Reps,"['basic_exercise: box jumps', 'basic_functional_movement: jump']",strength 1; movement primer; plyometrics,1,0,1,2,1376,5b8d52c54769fe000f13d2d1,#N/A,
,Bounding Jumps,,,,,,power_action_plyometrics,,,,,,,,,https://www.youtube.com/watch?v=1lPZipliV5Q,,,Reps,['basic_functional_movement: jump'],run skill development,0,0,0,0,1561,5c1d33782fa17a000f553262,#N/A,
,Bow Pose,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=YeuB3gtMO44,,,Minutes,[],recovery protocol; mobility (irb); mobility (bow pose); mobility,0,0,0,0,135,57e2fd3a4c6a031dc777e8ae,#N/A,
,Bowler Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/rw_Sj0Vkb9s,,,Reps,['basic_functional_movement: squat'],warm-up/movement prep; prehab/dynamic warm up,0,0,0,0,510,5841c8f6dc2ce90011f93b99,#N/A,
,Box Deadlift,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/ioErvM6EKJ0,,,Reps,['olympic_lift: deadlift'],strength 1; skys out thighs out 1; strength 2; skys out thighs out; powerlifting 1,1,0,0,1,1052,5a04b27cff5148000f6a2e5b,Weight (Actual),
,Box Front Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=ZhUMGKNwCfk,,,Reps,['basic_functional_movement: squat'],powerlifting; strength; strength 1; strength 2,1,0,0,1,1360,5b80b9fc4a198c000f19b0ef,Weight (Actual),
,Box Jump,,,,,,power_action_plyometrics,,,,,,,,,https://youtu.be/4nUyoi32dH0,,,Reps; Minutes; Time,"['basic_exercise: box jumps', 'basic_functional_movement: jump']",strength 1; neuro adaptation; mobility work; movement primer; stamina 3; warm-up/movement prep; soflete rx'd; soflete performance; weapons development; conditioning 2; soflete fitness; stamina 1; gymnastics; strength; warm up/movement prep; stamina; accessory work; recovery; plyometrics; soflete rx'd/performance; skyâ€™s out thighs out (accessory work); skys out thighs out; conditioning; movement flow; soflete performance/fitness; warm-up; sky's out thighs out; strength 2; conditioning 1; warm-up / movement prep; accessory work 1; assistance work; stamina 2,1,1,1,3,192,57e2fd3a4c6a031dc777e8e9,Weight (Actual),
,Box Jump Over,,,,,,power_action_plyometrics,,,,,,,,,https://www.youtube.com/watch?v=g9NVRxtFqAM,,,Reps; Minutes; Time; Seconds,"['basic_exercise: box jumps', 'basic_functional_movement: jump']",conditioning; soflete rx'd; soflete performance; mix modal; conditioning 2; stamina 1; stamina 2; stamina; stamina 3,0,1,0,1,577,586017874d0fec0011c02abd,Weight (Actual),
,Box Shoulder Stretch,,,,,,flexibility,,,,,,,,,https://www.youtube.com/watch?v=eW-NtP9yF8c,,,Seconds; Minutes; Time,[],recovery; mobility; recovery protocol; mobility (bretzel wo.); moblity; stamina; mobility (box shoulder wo),0,1,0,1,486,582b5a19473c06100052ee82,#N/A,
,Box Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=SCTehV-XOOc,,,Reps,['basic_functional_movement: squat'],powerlifting; strength 1; strength 2; skys out thighs out 2; neuro adaptation; strength; powerlifting 1,1,0,0,1,1151,5a87897e9becb1000fa54934,Weight (Actual),
,Box Step Up w/ Press,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=iuGc5BSxfkw,,,Reps,"['basic_exercise: step-up', 'basic_functional_movement: step']",mobility work,0,0,0,0,1054,5a0507e84e7ddd000fd34dbb,Weight (Actual),
,Box Step-Up and Overs,,,,,,,,,,,,,,,https://youtu.be/xrwJRX8ZX4A,,,Reps; Minutes,"['basic_exercise: step-up', 'basic_functional_movement: step']",stamina; stamina 2,0,1,0,1,1752,5ca0e5a4fce11500123f9d5f,Weight (Actual),
,Breaststroke Swim,,,301,,,strength_cardiorespiratory,swim,,,stable,,,none,,https://youtu.be/qgID-bQQTQg,,,Yards,['equipment: swimming'],warm-up/movement prep; cool down,0,0,0,0,1902,5d265ad5cc3ad8000f38cd16,#N/A,
,Breathing in Prone Position,,,,,,flexibility,,,,,,,,,https://youtu.be/eCUYAFmIPQ4,,,Minutes,['body position: prone'],recovery protocol,0,0,0,0,1835,5cf577e3fce115001253a89f,#N/A,
,Breathing Ladder,,,,,,,,,,,,,,,,,,,[],,0,0,0,0,195,57e2fd3a4c6a031dc777e8ee,#N/A,
,Breathing Protocol,,,,,,,,,,,,,,,,,,Minutes; Time,[],warm-up/movement prep; accessory work; cool down; recovery; tempo breathing; tempo breathing work; mobility; breathing work; warm-up; down regulation breathing; recovery protocol; new blank section #5; recovery protocol (mr.squat 2); tempo breathing protocol; breathing protocol,0,0,0,0,604,5873b514b06dc50011d0871d,#N/A,
,Bretzel,,,,,,,,,,,,,,,https://youtu.be/WQB83zJ6gSA,,,Seconds; Reps; Minutes; Time,[],mobility; mobility (phm); movement work; recovery protocol; mobility work; warm-up/movement prep; recovery protocol (sandow 3); cool down; down regulation breathing; warm up/movement prep; warm; mobility (bretzel); stamina; mobility work 2; mobility (bretzel wo.); mobility (pigeon stretch); warm-up; moblity; warm-up / movement prep,0,1,0,1,130,57e2fd3a4c6a031dc777e8a8,#N/A,
,Bretzel Thoracic Spinal CARs,,,,,,,,,,,,,,,https://youtu.be/TjM87lCS-04,,,Reps,[],recovery protocol,0,0,0,0,1403,5ba6c1d32d86de000f214493,#N/A,
,Bridge Flow,,,,,,flexibility,,,,,,,,,https://www.youtube.com/watch?v=KvTzB9pUURo,,bridge,Reps; Minutes,[],recovery protocol; breathing work; movement / breathing,0,0,0,0,1308,5b2cb0c0589acb000f2e35d1,#N/A,
,Bridge Pose,,,,,,strength_endurance,,,,,,,,,https://www.youtube.com/watch?v=frMIaeUmDkY,,bridge,Time,[],mobility work; accessory work; mobility,0,0,0,0,1176,5aa4e13bd4365e000f22d2d0,#N/A,
,Broad Jump,,,,,,power_action_plyometrics,,,,,,,,,https://www.youtube.com/watch?v=c6Etg7bpFfI,,,Distance; Meters; Feet; Reps; Time,"['basic_exercise: broad jumps', 'basic_functional_movement: jump']",prehab/dynamic warm up; assisted work; neuro adaptation; mobility work; movement primer; warm-up/movement prep; accessory work 2; plyometrics 2; soflete rx'd; soflete performance; plyo; trunk work; soflete fitness; strength; warm up/movement prep; stamina; accessory work; cyclic work; plyometrics; dynamic warm-up; warm-up; warm-up / movement prep; accessory work 1; warm up,1,1,1,3,109,57e2fd3a4c6a031dc777e891,Weight (Actual),
,Buddy Carry,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/DXZ-p9ItJnY,,,Meters,['basic_exercise: carry'],stamina 3; stamina part 3,0,1,0,1,1781,5cb63a0c60e5d3000f185b7b,#N/A,
,Bulgarian Back Rack Split Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=MMN2UlUB1HE,,,,['basic_functional_movement: squat'],,0,0,0,0,572,585d6a604d0fec0011c028fb,#N/A,
,Bulgarian Dumbbell Split Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=tHnz3zKYClE,dumbbells,,Reps,"['equipment: dumbbells', 'basic_functional_movement: squat']",strength 2,1,0,0,1,571,585d6a3d4d0fec0011c028fa,Weight (Actual),
,Bulgarian Front Rack Split Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/u40knpkAvRw,,,Reps,['basic_functional_movement: squat'],warm-up,0,0,0,0,570,585d6a1f4d0fec0011c028f9,Weight (Actual),
,Bulgarian Split Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=tHnz3zKYClE,,,Reps; Time,['basic_functional_movement: squat'],strength 2; skyâ€™s out thighs out (accessory work); skys out thighs out; neuro adaptation; strength; mobility work,1,0,0,1,569,585d69ea4d0fec0011c028f8,Weight (Actual),
,Bulgarian Squats,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=tHnz3zKYClE,,,Reps,['basic_functional_movement: squat'],strength,1,0,0,1,3,57e2fd3a4c6a031dc777e81f,Weight (Actual),
,Bunny Hops,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=RrZ7CZihRd8,,,Seconds,['basic_functional_movement: jump'],recovery protocol,0,0,0,0,1299,5b0f06e13eac7a000f7410d7,#N/A,
,Burgener Warm Up,,,,,,,,,,,,,,,https://youtu.be/iL2438S6a1c,,,Reps,[],strength,1,0,0,1,262,57e2fd3a4c6a031dc777e93b,#N/A,
,Burpee Bar Muscle-Ups,,,,,,power_action_plyometrics,,,,,,,,,https://www.youtube.com/watch?v=iAUzkrTsCDk,,,Reps; Time,[],conditioning; weapons development 2; gymnastics; stamina; stamina 2,0,1,0,1,904,59809163fd7558000f7ff242,#N/A,
,Burpee Box Jump,,,,,,power_action_plyometrics,,,,,,,,,https://www.youtube.com/watch?v=YyxrLTmoYWA,,,Reps,"['basic_exercise: box jumps', 'basic_functional_movement: jump']",conditioning; warm-up/movement prep; stamina 3; soflete rx'd; soflete performance; warm-up; conditioning 2; mix modal; conditioning 3; stamina 1; mobility work; warm-up / movement prep; stamina; stamina 2,0,1,0,1,502,583edc1cfbefd210001e351b,#N/A,
,Burpee Box Jump Over,,,,,,power_action_plyometrics,,,,,,,,,https://www.youtube.com/watch?v=IgRrtmSPPAY,,,Reps; Time; Seconds,"['basic_exercise: box jumps', 'basic_functional_movement: jump']",conditioning; stamina 3; soflete rx'd; soflete performance; warm-up; conditioning 2; conditioning option b; mix modal; soflete fitness; stamina 1; gymnastics; conditioning 1; stamina; stamina 2,0,1,0,1,660,588660d69f4d4d000f6e2254,Weight (Actual),
,Burpee Broad Jump,,,,,,power_action_plyometrics,,,,,,,,,https://youtube.com/watch?v=IU164dzHDMQ,,,Reps; Yards; Meters,"['basic_exercise: broad jumps', 'basic_functional_movement: jump']",warm-up/movement prep; stamina 3; devils quarter mile; prehab/dynamic warm-up; plyometrics; warm-up; stamina 1; devil's mile; warm up/movement prep; warm-up / movement prep; stamina; stamina 2,0,1,1,2,681,588a5622ba4bcd000fd7aeba,#N/A,
,Burpee Chest to Bar Pull-Up,,,,,,power_action_plyometrics,,,,,,,,,https://youtu.be/UIyXhKSrKYA?list=PL4T3VJwPWwuFotqGyAGlfoYdkoTQzbrZe,,,Reps,['basic_exercise: pull-ups'],conditioning; soflete rx'd; soflete performance; stamina 1; stamina 2; stamina; stamina 3,0,1,0,1,637,588108f29f4d4d000f6e07cb,#N/A,
,Burpee Deadlift,"standing, jump feet back to prone, push up, jump back up to standing, deadlift",,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/ja1kW9P65A8?t=50,barbells,,Reps,['olympic_lift: deadlift'],stamina; strength,1,1,0,2,1545,5c0f66ea2fa17a000f523b77,Weight (Actual),
,Burpee Muscle-Up,,,,,,power_action_plyometrics,,,,,,,,,https://www.youtube.com/watch?v=iYVEACIRzqc,,,Reps,[],conditioning,0,0,0,0,927,59978a42332cef000f6cbea7,#N/A,
,Burpee Over Yoke,,,,,,power_action_plyometrics,,,,,yoke,,,,https://youtu.be/WyPwOjmf9fM,yoke,,Reps,['equipment: yoke'],stamina,0,1,0,1,1715,5c7d894525e0a600129951ab,#N/A,
,Burpee Pull-Ups,,,,,,power_action_plyometrics,,,,,,,,,https://youtu.be/GsZWlkqHwkY?list=PL4T3VJwPWwuFotqGyAGlfoYdkoTQzbrZe,,,Reps,['basic_exercise: pull-ups'],soflete fitness; stamina 1; strength; warm-up / movement prep; stamina; stamina 2,1,1,0,2,576,586005da4d0fec0011c02a6e,#N/A,
,Burpee Ring Muscle-Up,,,,,,power_action_plyometrics,,,,,,,,,https://www.youtube.com/watch?v=40sJHDQXCxw,,,Reps,[],stamina,0,1,0,1,936,59bc224b332cef000f70ae81,#N/A,
,Burpee to Plate,,,,,,power_action_plyometrics,,,,,,,,,https://www.youtube.com/watch?v=SX-AZAwkcfk,,,Seconds; Reps,[],stamina 1; stamina,0,1,0,1,1254,5addf1651d38c4000fe85824,Weight (Actual),
,Burpees,,,,,,power_action_plyometrics,,,,,,,,,https://youtu.be/RPl20UFt1pE?list=PL4T3VJwPWwuEnPSfKLKNVPGX02-ybszb3,,,Reps; Minutes; Time; Seconds,[],o course simulation; gun work - pistol: outside the waistband; pistol - outside the waistband; assisted work; bonus work; mixed model; stamina 3; warm-up/movement prep; carbine; soflete rx'd; soflete performance; stamina 4; conditioning option b; weapons development; trunk work; pistol - concealed carry (cc); stamina 1; heart rate elevation; pistol - concealed carry; soflete fitness; strength; gymnastics; stamina; accessory work; recovery; warm-up/movement workout; precision rifle; strongman; soflete rx'd/performance; strength 4; dynamic warm-up; conditioning; warm-up; burpee pyramid; gun work - pistol: concealed carry; conditioning 1; strongman work; gun work - carbine; grip work; stamina 2,1,1,0,2,105,57e2fd3a4c6a031dc777e88d,Weight (Actual),
,Burpees Over the Rower,,,,,,power_action_plyometrics,,,,,,,,,https://youtube.com/watch?v=9OOJNT8HsU4,,,Reps; Minutes,['equipment: rower'],conditioning; optional am session; soflete rx'd/performance; stamina 4; conditioning 3; soflete fitness; stamina 1; conditioning 1; stamina 2; stamina; stamina 3,0,1,0,1,718,58aa11b19354df000f845c47,#N/A,
,"Burpees to 6"" Target",,,,,,power_action_plyometrics,,,,,,,,,https://youtu.be/3J8wolRDMT0?list=PL4T3VJwPWwuEnPSfKLKNVPGX02-ybszb3,,,Reps; Time; Seconds,[],conditioning; stamina 1; conditioning 1; stamina,0,1,0,1,108,57e2fd3a4c6a031dc777e890,#N/A,
,Butt Kicks,,,,,,movement_prep,,,,,,,,,https://youtu.be/YghFdARF67k?list=PL4T3VJwPWwuFotqGyAGlfoYdkoTQzbrZe,,,Reps; Yards; Meters; Feet,[],warm-up/movement prep; endurance prep; movement prep; warm-up; stamina 1; warm up/movement prep; warm-up / movement prep; warm-up/movement work; stamina; endurance,0,1,0,1,171,57e2fd3a4c6a031dc777e8d4,#N/A,
,Cable Curl,,,,,,,,,,,,,,,https://youtu.be/6sF5joFctMc,,,Reps,['equipment: cables'],accessory work 2; accessory work; accessory work 3,0,0,0,0,1494,5bec3d04438d7d000f613555,Weight (Actual),
,Cable Lat Pulldown,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/UfDDlUXIRyg,,,Reps,['equipment: cables'],strength 3,1,0,0,1,1460,5bec363d928046000fa51f85,Weight (Actual),
,Cable Side Bends,,,,,,,,,,,,,,,https://youtu.be/0XShdlT32QM,,,Reps,['equipment: cables'],accessory work; core,0,0,0,0,1485,5bec3c3d438d7d000f61352d,Weight (Actual),
,Cable Tricep Push down,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/mCn6ZrXpeZc,,,Reps,['equipment: cables'],accessory work; accessory work 3; strength 6; bonus work (optional),1,0,0,1,1493,5bec3cf0cb07e9000fc95dea,Weight (Actual),
,Cable/ Band Face Pull,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=tBcEiE3bWkQ,,,Reps; Time,['equipment: cables'],prehab/dynamic warm up; prehab/dynamic warm-up (shoulder press); strength 5; warm-up/movement prep; prehab/dynamic warm-up; prehab / dynamic warm-up; strength 6; trunk work; bonus material; warm up/movement prep; accessory work; suns out guns out; strength 4; prehab/dynamic warm-up - 3; accessory work 4; correctives; warm-up; accessory work 3; strength 2; warm-up / movement prep; accessory work 1,1,0,0,1,474,582391cb473c06100052edad,Weight (Actual),
,Candlestick Roll to Single Leg Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/PDarczQF3Z4,,,Reps,"['body position: single leg standing', 'basic_functional_movement: squat']",warm-up/movement prep; warm-up; recovery protocol; gymnastics; warm-up / movement prep; movement primer,0,0,0,0,1150,5a8738b59becb1000fa53fcb,#N/A,
,Captain Morgans,,,,,,,,,,,,,,,https://youtu.be/oDoCrzgX4cI,,,Reps,[],warm-up/movement prep; warm-up / movement prep; warm-up; warm up/movement prep,0,0,0,0,153,57e2fd3a4c6a031dc777e8c1,#N/A,
,Carioca,,,,,,movement_prep,,,,,,,,,https://www.youtube.com/watch?v=SfJLsVnxnCE,,,Seconds; Meters; Feet,[],warm-up/movement prep; endurance prep; warm-up; run skill development; warm up/movement prep; warm-up / movement prep,0,0,0,0,167,57e2fd3a4c6a031dc777e8d0,#N/A,
,CAT Back Squat,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/LLXEaqvLXCg,,,Reps,['basic_functional_movement: squat'],strength 1; weightlifting; strength,1,0,0,1,1920,5d3a9a85fce1150012648d3a,Weight (2RM),
,Cat Cow,,,,,,flexibility,,,,,,,,,https://youtu.be/wSr8IwEVMco,,,Reps; Minutes; Seconds,[],skill prep; mobility; breathing work; sports specific day warm-up; movement work; recovery protocol; sports specific warm-up; mobility work; endurance; warm-up/movement prep; cars warm-up; down regulation breathing; bonus material; bike skill development; sports specific day warm up; breathing / movement work; warm up/movement prep; ssp day warm-up; warm-up/movement prep (basic apex 2); endurance prep; breathing / mobility work; recovery protocol 4; breathin; brick session; movement flow; warm-up; warm up / movement prep; movemental flow; movement / breathing work; warm-up / movement prep; skill development,0,0,0,0,639,58816662f8fcd2000f9093dc,#N/A,
,Catch Up Drill,rotate fully on side as taking breath in freestyle stroke,,300,,,strength_cardiorespiratory,swim,,,stable,,,none,,https://youtu.be/Fszey7mJSb4,,,Yards; Meters,[],swim development; stroke skill - technical focus; swim skill development; stroke refinement; skill development,0,0,0,0,1139,5a698a088c6176000f5c4745,#N/A,
,Charleston,,,,,,,,,,,,,,,,,,,[],,0,0,0,0,264,57e2fd3a4c6a031dc777e93d,#N/A,
,Cherry Pickers,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=79GmsFI9LKk,,,Reps,[],warm-up / movement prep,0,0,0,0,824,59286ce995e3f3000f931649,#N/A,
,Chest Elevated Push Up on Bar,,,,,,strength_integrated_resistance,,,,,,,,,,,,,['basic_exercise: push-ups'],,0,0,0,0,265,57e2fd3a4c6a031dc777e93e,#N/A,
,Chest Elevated Push-ups,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/L53schjKklg,,,Reps,['basic_exercise: push-ups'],accessory work; calisthenics 2; bonus material; bonus work (optional); stamina,0,1,0,1,86,57e2fd3a4c6a031dc777e878,#N/A,
,Chest Press Med Ball Slam,,,,,,power_action_plyometrics,,,,,medicine_balls,,,,https://www.youtube.com/watch?v=XUNATbsfX0w,medicine_balls,,Reps,[],stamina; plyometrics,0,1,1,2,1284,5aff11861d38c4000fecce42,Weight (Actual),
,Chest Stretch,,,,,,flexibility,,,,,,,,,https://youtu.be/yCEY0Hv-xos,,,Seconds,[],recovery protocol; mobility,0,0,0,0,505,583f12b6fbefd210001e35d2,#N/A,
,Chest Support Barbell Row,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/By5nyq269fY,barbells,,Reps,"['equipment: barbells', 'equipment: rower']",accessory work 2; strength 1; strength 3; strength 4; accessory work 1,1,0,0,1,1524,5bfde3e6011489000ff4047f,Weight (Actual),
,Chest Supported Dumbbell Row,,,,,,strength_integrated_resistance,,,,,,,,,https://www.youtube.com/watch?v=nl2MnK1i504,dumbbells,,Reps,"['equipment: dumbbells', 'equipment: rower']",accessory work 2; accessory work; strength 3; accessory work 3; strength 4; strength 2; strength; accessory work 1,1,0,0,1,1203,5aba6de9d4365e000f255a99,Weight (Actual),
,Chest to Bar Pull-ups,,,,,,strength_integrated_resistance,,,,,,,,,https://youtu.be/GU87B7sAgP8?list=PL4T3VJwPWwuEnPSfKLKNVPGX02-ybszb3,,,Reps; Time; Seconds,['basic_exercise: pull-ups'],strength 1; weapons development 2; stamina 3; soflete rx'd; soflete performance; stamina 4; weapons development; conditioning 2; bonus material; stamina 1; gymnastics; strength; bonus work (optional); stamina; accessory work; strength 3; open 18.5 prep; strength & stamina; weapons development 1; conditioning; conditioning 1; stamina 2,1,1,0,2,88,57e2fd3a4c6a031dc777e87a,Weight (Actual),
