name,description,training_type_original,training_type,equipment,action,body_position,explosiveness,youtube_link,tags,sections,strength,endurance,power,stability,number of training types assigned,metrics,,id
Decline Push-Ups,,,,,,,,https://www.youtube.com/watch?v=SKPab2YC8BE,['basic_exercise: push-ups'],accessory work; calisthenics 2; soflete performance; bonus material; bonus work (optional),0,0,0,,0,Reps,1026,59f09215901d91000f5611a3
Decline reverse crunch,,,,,,,,https://youtu.be/HgugOTyWVI4,[],accessory work; core,0,0,0,,0,Seconds; Reps,1490,5bec3a8a928046000fa5207e
Deficit Bulgarian Split Squats,,,,,,,,https://youtu.be/GoG07zjxAEI,['basic_functional_movement: squat'],strength 1,1,0,0,,1,Reps,1495,5bec3d2ecb07e9000fc95e01
Deficit Cossack Squat,,,,,,,,https://www.youtube.com/watch?v=5oEu-0mucgE,['basic_functional_movement: squat'],warm-up/movement prep; accessory work; strength 2,1,0,0,,1,Reps,1217,5ac3b8fd16557e000f3d53e7
Deficit Deadlift,,,,,,,,https://youtu.be/E0jvKGIChJI?list=PL4T3VJwPWwuFotqGyAGlfoYdkoTQzbrZe,['olympic_lift: deadlift'],strength 1; strength 3; strength 2; powerlifting 2; strength; neuro adaptation; powerlifting 1,1,0,0,,1,Reps,283,57e2fd3a4c6a031dc777e950
Deficit Push Ups to Explosive Rebound Up,,,,,,,,,['basic_exercise: push-ups'],,0,0,0,,0,,284,57e2fd3a4c6a031dc777e951
Deficit Push-ups,,plyometrics,,,,,,,['basic_exercise: push-ups'],soflete performance/fitness; soflete rx'd; plyometrics; soflete performance,0,0,1,,1,Reps,82,57e2fd3a4c6a031dc777e873
Deficit Sumo Deadlift,,,,,,,,https://youtu.be/-umASlkC6Wk,['olympic_lift: deadlift'],strength 2,1,0,0,,1,Reps,1841,5cf84484fce1150012547681
Depth Drop,,plyometrics,,,,,,https://youtube.com/watch?v=oq9GNHuV4G8,[],warm-up/movement prep; prehab/dynamic warm up; plyometrics,0,0,1,,1,Reps,671,58890d9f65dcf3000f912223
Depth Drop to Box Jump,,plyometrics,,,,,,https://www.youtube.com/watch?v=s4NPKcq0XSQ,"['basic_exercise: box jumps', 'basic_functional_movement: jump']",plyometrics,0,0,1,,1,Reps,781,5900a17a825920000fab4c8a
Depth Drop to Broad Jump,,plyometrics,,,,,,https://youtu.be/45rdJO63NWQ,"['basic_exercise: broad jumps', 'basic_functional_movement: jump']",plyometrics,0,0,1,,1,Reps,1364,5b849fa09054f6000f68be4f
Depth Jump,,plyometrics,,,,,,https://www.youtube.com/watch?v=C9o8_GvhG10,"['basic_exercise: depth jumps', 'basic_functional_movement: jump']",warm-up/movement prep; strength work; accessory work; strength 1; prehab/dynamic warm up; strength 3; plyometrics; strength,1,0,1,,2,Reps,739,58b42559707ad3000fbf331e
Depth Push-ups,,,,,,,,https://youtu.be/IWcKtHuO6FI?list=PL4T3VJwPWwuEnPSfKLKNVPGX02-ybszb3,['basic_exercise: push-ups'],warm-up/movement prep; movement flow; accessory work; prehab/dynamic warm-up; prehab/dynamic warm up; breathing work; warm-up; strength 2; stamina 1; neuro adaptation; mobility work; warm-up / movement prep; stamina,1,1,0,,2,Reps,87,57e2fd3a4c6a031dc777e879
Devil Press,,,,,,,,https://youtu.be/_-iCGodEZNo,[],stamina 1; mix modal; stamina,0,1,0,,1,Reps,1452,5be8cdb9928046000fa44252
Diagonal Bounding,,plyometrics,,,,,,https://www.youtube.com/watch?v=WTwglKfDDxk,[],accessory work; stamina 2; plyometrics,0,1,1,,2,Reps; Meters,787,5901273abbd5d5000f56128d
Diagonal Bounds to Sprint,,speed_agility_quickness,,,,,,https://youtube.com/watch?v=DmzZtuzKFds,['basic_functional_movement: sprint'],stamina; plyometrics,0,1,1,,2,Reps; Meters,747,58baf0dcc7cfd3000f0c1dd9
Diamond Push-Ups,,,,,,,,https://youtu.be/02d-WveJ0ZM?list=PL4T3VJwPWwuEnPSfKLKNVPGX02-ybszb3,['basic_exercise: push-ups'],accessory work 2; accessory work; suns out guns out; sunâ€™s out guns out (accessory work); strength 3; suns out guns out (accessory work); strength 4; strength 2; bonus material; assistance work; suns out guns out 2; superset; strength; bonus work (optional); accessory work 1; stamina; stamina 3,1,1,0,,2,Reps; Minutes; Time; Seconds,84,57e2fd3a4c6a031dc777e876
Diaphragmatic Breathing Technique,,,,,,,,https://www.youtube.com/watch?v=0Ua9bOsZTYg,[],new blank section #4; movement flow; cool down; down regulation breathing work; mobility; breathing work; warm-up; movement work; down regulation breathing; recovery protocol; movemental flow; breathing / mobility work / movement,0,0,0,,0,Reps; Minutes; Time,1068,5a0edb64ff5148000f6b1fdf
Dip Shrug,,,,,,,,https://youtube.com/watch?v=h0J7YwDMLYs,['basic_exercise: dips'],warm-up/movement prep; suns out guns out; warm-up / movement prep (raiden 4); prehab/dynamic warm-up; prehab/dynamic warm up; recovery protocol; dynamic warm-up; correctives; warm-up / movement prep,0,0,0,,0,Reps,161,57e2fd3a4c6a031dc777e8ca
Dips on Bar,,,,,,,,,['basic_exercise: dips'],callisthenics; accessory work; suns out guns out; strength 1; strength 3; warm-up; strength 2; strength; accessory work 1; stamina; calisthenics; stamina 2,1,1,0,,2,Reps; Time,93,57e2fd3a4c6a031dc777e881
Dips with Chains,,,,,,,,,['basic_exercise: dips'],,0,0,0,,0,,285,57e2fd3a4c6a031dc777e952
Dirty Dog,,,,,,,,https://youtu.be/QxYSX3XEmQE,[],cool down; stretch; mobility; stamina/strength 3; warm-up; stamina/strength 1; warm-up/mobility 2; cool down/stretch; stamina 1; warm-up/mobility; stamina 2; stretch/recovery; stamina; core; stamina 3,1,1,0,,2,Reps,146,57e2fd3a4c6a031dc777e8ba
Dive Bomber Push-Up,,,,,,,,https://youtu.be/U87gigSOgqs,['basic_exercise: push-ups'],mobility work; warm-up; movemental flow,0,0,0,,0,Reps; Time,1238,5ace9ac0b678c5000fe13dc6
Donkey Kick Backs,,,,,,,,https://youtu.be/Im5nE3J558k,[],warm-up; assistance work; strength 2,1,0,0,,1,Reps,1157,5a8caa917f2621000ff917af
Door Stretch,,,,,,,,https://www.youtube.com/watch?v=xzR9trLRD0c,[],warm-up/movement prep; warm-up / movement prep; warm-up; recovery protocol,0,0,0,,0,Seconds; Minutes; Time,128,57e2fd3a4c6a031dc777e8a6
Dot Drills,dot mat. Speed drill as moving feet,speed_agility_quickness,,,,,,,[],,0,0,0,,0,,220,57e2fd3a4c6a031dc777e909
Double Arm Dumbbell Push Press,,,,dumbbells,,,,https://youtu.be/l2ovJjQvT_0?list=PL4T3VJwPWwuEnPSfKLKNVPGX02-ybszb3,"['olympic_lift: push press', 'equipment: dumbbells']",stamina 3; strength 1; soflete rx'd; soflete performance; soflete rx'd/performance; strength 3; mixed modal; soflete fitness; stamina 1; gymnastics; conditioning 1; strength; stamina; stamina 2,1,1,0,,2,Reps; Minutes; Time; Seconds,555,585c3a604d0fec0011c02769
Double Arm Landmine Press,,,,,,,,https://www.youtube.com/watch?v=962b-0Dce0Y,[],strength 2; strength 1; strength 3,1,0,0,,1,Reps,903,597cdf05c3db3e000f719b31
Double DB Overhead Hold,,,,dumbbells,,,,https://www.youtube.com/watch?v=n6FmHK6itcE,['equipment: dumbbells'],warm-up/movement prep; stamina 1; stamina; strength 3,1,1,0,,2,Seconds; Minutes,1688,5c6a28427358c8000f7b2c7d
Double Dumbbell Clean,,,,dumbbells,,,,https://youtu.be/RF8iX5jl2Ng?list=PL4T3VJwPWwuEnPSfKLKNVPGX02-ybszb3,['equipment: dumbbells'],conditioning; soflete rx'd; soflete performance; soflete fitness; stamina,0,1,0,,1,Reps,553,585c395d4d0fec0011c02767
Double Dumbbell Front Squat,,,,dumbbells,,,,https://youtu.be/k-qoKq9pQns?list=PL4T3VJwPWwuEnPSfKLKNVPGX02-ybszb3,"['equipment: dumbbells', 'basic_functional_movement: squat']",stamina 3; conditioning option a; strength 1; stamina; stamina 1; conditioning 1; strength; open 18.2 prep; movement primer; stamina 2,1,1,0,,2,Reps,568,585d69a44d0fec0011c028f7
Double Dumbbell Lunge,,,,dumbbells,,,,https://youtu.be/jpBYnTEoCSk?list=PL4T3VJwPWwuEnPSfKLKNVPGX02-ybszb3,"['equipment: dumbbells', 'basic_functional_movement: lunge']",accessory work; strength 2; stamina 1; skys out thighs out 2; strength; stamina; stamina 2,1,1,0,,2,Reps; Meters; Feet; Seconds,49,57e2fd3a4c6a031dc777e84f
Double Dumbbell Sit-Ups,,,,dumbbells,,,,https://youtu.be/B7hgfU4Fs8w?t=9,['equipment: dumbbells'],stamina,0,1,0,,1,Reps; Seconds,1763,5cabc19460e5d3000f15a91c
Double Dumbbell Strict Press,,,,dumbbells,,,,https://youtu.be/9c8wGfhUZAM?list=PL4T3VJwPWwuEnPSfKLKNVPGX02-ybszb3,['equipment: dumbbells'],strength work; accessory work; accessory work 2; suns out guns out; strength 1; sunâ€™s out guns out (accessory work); soflete rx'd; soflete performance; warm-up; strength 2; lightweight shoulders; soflete fitness; strength; stamina; stamina 2,1,1,0,,2,Reps; Minutes; Time; Seconds,557,585c3dba4d0fec0011c0276b
Double Dumbbell Swings,,,,dumbbells,,,,,['equipment: dumbbells'],,0,0,0,,0,,198,57e2fd3a4c6a031dc777e8f2
Double Foot Elevated Split Squat,,,,,,,,https://www.youtube.com/watch?v=eibWC4QsNnw,['basic_functional_movement: squat'],warm-up/movement prep; accessory work; strength 1; strength 2; strength; warm-up / movement prep,1,0,0,,1,Reps,969,59ca8e603d98d0000fd81605
Double KB Clean,,,,Kettlebells,,,,https://www.youtube.com/watch?v=3sgCapAQUd0,['equipment: kettlebells'],strength 3; stamina 1; strength; stamina; strongman,1,1,0,,2,Reps; Time,1090,5a3b0bc78347fc000f1d34f1
